[2023-11-27 18:22:31] [INFO   ] Generating Test Report 
[2023-11-27 18:22:32] [INFO   ] Fetching data from the data provider 'EG_login' 
[2023-11-27 18:22:34] [INFO   ] Setting up the browser... 
[2023-11-27 18:22:43] [INFO   ] Started measuring time 2023-11-27T12:52:43.497422500Z 
[2023-11-27 18:22:43] [INFO   ] Executing tc_01_Login Test Cases 
[2023-11-27 18:22:43] [INFO   ] Entering User ID 
[2023-11-27 18:22:43] [INFO   ] Entering password 
[2023-11-27 18:22:43] [INFO   ] Clicking on the log in button 
[2023-11-27 18:22:45] [INFO   ] tc_01_Login Test Cases Execution Completed 
[2023-11-27 18:22:45] [INFO   ] Time elapsed - [In milli-seconds: 2447] [In seconds:2.447] 
