[2023-11-27 18:16:45] [INFO   ] Generating Test Report 
[2023-11-27 18:16:46] [INFO   ] Fetching data from the data provider 'EG_login' 
[2023-11-27 18:16:48] [INFO   ] Setting up the browser... 
[2023-11-27 18:16:59] [INFO   ] Started measuring time 2023-11-27T12:46:59.240304600Z 
[2023-11-27 18:16:59] [INFO   ] Executing tc_01_Login Test Cases 
[2023-11-27 18:16:59] [INFO   ] Entering User ID 
[2023-11-27 18:16:59] [INFO   ] Entering password 
[2023-11-27 18:16:59] [INFO   ] Clicking on the log in button 
[2023-11-27 18:17:01] [INFO   ] tc_01_Login Test Cases Execution Completed 
[2023-11-27 18:17:01] [INFO   ] Time elapsed - [In milli-seconds: 2653] [In seconds:2.653] 
